"January 13, 2022 at 04:37AM",tempandhumlogger,6,28,1
"January 13, 2022 at 05:34AM",tempandhumlogger,5,28,1
"January 13, 2022 at 06:31AM",tempandhumlogger,5,28,1
"January 13, 2022 at 07:28AM",tempandhumlogger,5,28,1
"January 13, 2022 at 08:25AM",tempandhumlogger,5,28,1
"January 13, 2022 at 09:21AM",tempandhumlogger,5,28,1
"January 13, 2022 at 10:18AM",tempandhumlogger,5,28,1
"January 13, 2022 at 11:15AM",tempandhumlogger,5,28,1
"January 13, 2022 at 12:12PM",tempandhumlogger,5,28,1
"January 13, 2022 at 01:09PM",tempandhumlogger,6,28,1
"January 13, 2022 at 02:06PM",tempandhumlogger,6,28,1
